Marca,Modelo,Tipo,Capacidade de Refrigeração Nominal (Btu/h),Consumo Anual de Energia (kWh),IDRS (Wh/Wh)
Fujitsu/Airstage,ASBG18CMBA/AOBG18CMCA,Split Hi-Wall,18000.0,57.4,7.6
Fujitsu/Airstage,ASBH27CMTA/AOBH27CMTA,Split Hi-Wall,27000.0,838.0,7.8
DAIKIN,FTHP12S5VL / RHP12S5VL,Split Hi-Wall,12000.0,350.0,8.3
DAIKIN,FTKP09S5VL / RKP09S5VL,Split Hi-Wall,9000.0,262.6,8.3
DAIKIN,FTHC12T5VL / RHC12T5VL,Split Hi-Wall,12000.0,415.4,7.0
DAIKIN,FTKC12T5VL / RKC12T5VL,Split Hi-Wall,12000.0,415.4,7.0
Colormaq,AC 9K FRIO BR 220V ACC09IFBRBNAC,Split Hi-Wall,9000.0,433.0,5.88
Colormaq,AC 24K FRIO BR 220V ACC24IFBRBNAC,Split Hi-Wall,24000.0,911.0,6.45
Midea,38AGVCI18M5 / 42AGVCI18M5,Split Hi-Wall,18000.0,629.9,6.92
Midea,38AGVCI09M5/42AGVCI09M5,Split Hi-Wall,9000.0,365.6,6.0
Springer Midea,38TVCI22S5/42AFVCI22S5,Split Hi-Wall,22000.0,918.8,5.8
Springer Midea,38TVCI09S5/42AFVCI09S5,Split Hi-Wall,9000.0,396.4,5.5
Midea,38AGVCJ12M5 / 42AGVCJ12M5,Split Hi-Wall,12000.0,382.7,7.6
Midea,38EZVQA09M5 / 42EZVQA09M5,Split Hi-Wall,9000.0,286.8,7.6
Midea,38EZVCB09M5 / 42EZVCB09M5,Split Hi-Wall,9000.0,265.9,8.2
Midea,38TBVCA18M5 / 42EBVCA18M5,Split Hi-Wall,18000.0,947.8,4.6
Midea,38TAVCA12M5 / 42EFVCA12M5,Split Hi-Wall,12000.0,415.2,7.0
PHILCO,PAC24FB,Split Hi-Wall,24000.0,1035.0,5.5
PHILCO,PAC24QI,Split Hi-Wall,24000.0,1714.0,3.14
PHILCO,PAC12FI,Split Hi-Wall,12000.0,869.0,3.14
PHILCO,PAC9FB,Split Hi-Wall,9000.0,376.0,5.5
PHILCO,PAC12FB,Split Hi-Wall,12000.0,493.0,5.5
PHILCO,PAC9QC,Split Hi-Wall,9000.0,376.0,5.5
PHILCO,PAC36QC,Split Hi-Wall,36000.0,1474.0,5.5
PHILCO,PAC24QG,Split Hi-Wall,24000.0,1036.0,5.5
PHILCO,PAC12FC,Split Hi-Wall,12000.0,493.0,5.5
BRITÂNIA,BAC12FC,Split Hi-Wall,12000.0,493.0,5.5
PRIME AIR,PRIME AIR 12FC,Split Hi-Wall,12000.0,493.0,5.5
PRIME AIR,PRIME AIR 9QG,Split Hi-Wall,9000.0,376.0,5.5
Gree,GWC09ATAXA-D6DNA1A,Split Hi-Wall,9000.0,431.9,5.05
Gree,GWC12ATBXA-D6DNA1A,Split Hi-Wall,12000.0,579.4,5.01
Gree,GWC24ATDXE-S6DNA1A,Split Hi-Wall,24000.0,1075.0,5.41
Gree,GWC30ATEXF-S6DNA1AB,Split Hi-Wall,30000.0,1210.0,6.0
Gree,GWC18ATD-D6DNA1A,Split Hi-Wall,18000.0,723.0,6.01
Gree,GWC12ATCXB-D6DNA3CM,Split Hi-Wall,12000.0,415.0,7.01
Gree,GWC24ATEXE-D6DNA3EM,Split Hi-Wall,24000.0,829.0,7.01
Elgin,HIQI36C2WA / HIQE36C2CA,Split Hi-Wall,36000.0,1525.0,5.5
ELGIN,HJQI12C2WF/HJQE12C2CF,Split Hi-Wall,12000.0,416.0,7.0
Vertys,ASIIF009A2WANV / ASIEF009A2WANV,Split Hi-Wall,9000.0,404.0,5.65
Vertys,ASIIQ018A2WANV / ASIEQ018A2WANV,Split Hi-Wall,18000.0,752.0,5.87
Vertys,ASIIQ024A2WANV / ASIEQ024A2WANV,Split Hi-Wall,24000.0,905.0,6.76
Vertys,ASIIF018A2WASV / ASIEF018A2WASV,Split Hi-Wall,18000.0,598.0,7.18
Vertys,ASIIQ018A2WASV / ASIEQ018A2WASV,Split Hi-Wall,18000.0,575.0,7.06
Electrolux,UI12F/UE12F,Split Hi-Wall,12000.0,831.0,3.5
Electrolux,JE09F/JI09F,Split Hi-Wall,9000.0,397.0,5.5
Electrolux,YE12F/YI12F,Split Hi-Wall,12000.0,529.0,5.5
Electrolux,YE24F/YI24F,Split Hi-Wall,24000.0,1058.0,5.5
Electrolux,UE09R/UI09R,Split Hi-Wall,9000.0,623.0,3.5
Electrolux,UI18F/UE18F,Split Hi-Wall,18000.0,1245.0,3.5
Electrolux,UI24F-UE24F,Split Hi-Wall,23000.0,1592.0,3.5
PHILCO,PAC24000IFM12W,Split Hi-Wall,24000.0,1050.0,5.5
PHILCO,PAC24000IFM9W,Split Hi-Wall,24000.0,995.0,5.5
PHILCO,PAC30000IFM8,Split Hi-Wall,30000.0,1172.0,6.2
PHILCO,PAC30000IFM8W PROTECT,Split Hi-Wall,30000.0,1172.0,6.2
LG,S3NQ09AAQAL+S3UQ09AAQAL,Split Hi-Wall,9000.0,396.4,5.5
LG,S3NQ12JA31K+S3UQ12JA31K,Split Hi-Wall,12000.0,484.6,6.0
LG,S3NW09AA31C+S3UW09AA31C,Split Hi-Wall,9000.0,363.3,6.0
LG,S3NQ18KLR1B+S3UQ18KLR1B,Split Hi-Wall,19000.0,766.4,6.0
LG,S3NQ12JA33K+S3UQ12JA33K,Split Hi-Wall,12000.0,484.6,6.0
LG,S3NW09AAQAL+S3UW09AAQAL,Split Hi-Wall,9000.0,396.1,5.5
LG,S3NW18KLQAL+S3UW18KLQAL,Split Hi-Wall,19000.0,836.4,5.5
LG,S3NW18KL33B+S3NW18KL33B,Split Hi-Wall,19000.0,742.4,6.2
LG,S3NQ09AA33C+S3UQ09AA33C,Split Hi-Wall,9000.0,363.3,6.0
LG,S3NW09AA33D+S3UW09AA33D,Split Hi-Wall,9000.0,363.4,6.0
LG,S3NQ12JA31L+S3UQ12JA31L,Split Hi-Wall,12000.0,415.2,7.0
LG,S3NQ24K2R1C+S3UQ24K2R1C,Split Hi-Wall,22000.0,761.1,7.0
LG,S3NW12JA33D+S3UW12JA33D,Split Hi-Wall,12000.0,415.3,7.0
LG,S3NW18KLRD1+S3UW18KLRD1,Split Hi-Wall,18000.0,622.6,7.0
LG,S3NW24K2RD1+S3UW24K2RD1,Split Hi-Wall,22000.0,761.1,7.0
SAMSUNG,AR09DYFZBWKNAZ + AR09DYFZBWKXAZ,Split Hi-Wall,9000.0,363.0,6.0
SAMSUNG,AR12DXFAAWKNAZ + AR12DXFAAWKXAZ,Split Hi-Wall,12000.0,469.0,6.2
SAMSUNG,AR12DYFAVWKNAZ + AR12DYFAVWKXAZ,Split Hi-Wall,12000.0,485.0,6.0
SAMSUNG,AR24DXFAAWKNAZ + AR24DXFAAWKXAZ,Split Hi-Wall,24000.0,970.0,6.0
SAMSUNG,AR24DYFAAWKNAZ + AR24DYFAAWKXAZ,Split Hi-Wall,24000.0,922.0,6.3
SAMSUNG,AR24DYFABWKNAZ + AR24DYFABWKXAZ,Split Hi-Wall,24000.0,922.0,6.3
SAMSUNG,AR60F18C1AWNAZ + AR60F18C1AWKAZ,Split Hi-Wall,18000.0,606.0,7.2
SAMSUNG,AR60F18D1BWNAZ + AR60F18D1BWXAZ,Split Hi-Wall,18000.0,681.0,6.4
SAMSUNG,AR60H12C1AWNAZ + AR60H12C1AWXAZ,Split Hi-Wall,12000.0,287.0,7.0
TECHFRIO,HT-24INV,Split Hi-Wall,24000.0,1055.0,5.5
HQ,HQ-INV9000FHI / HQ-INV9000FHO,Split Hi-Wall,9000.0,370.0,5.5
HISENSE,AS-09TW2RLDTD00 / AS-09TW2RLD00,Split Hi-Wall,9000.0,370.0,5.5
HISENSE,AS-09TW2RLDTG00 / AS-09TW2RLD00,Split Hi-Wall,9000.0,370.0,5.5
HISENSE,AS-12TW2RLDTT00 / AS-12TW2RLD00,Split Hi-Wall,12000.0,475.0,5.5
HISENSE,AS-12TW2RLDDJ00 / AS-12TW2RLD00,Split Hi-Wall,12000.0,475.0,5.5
HISENSE,AS-18TW2RMADK02 / AS-18TW2RMA02,Split Hi-Wall,18000.0,655.0,5.5
HISENSE,AS-24TW2RBBTT03 / AS-24TW2RBB03,Split Hi-Wall,24000.0,1055.0,5.5
PIONEER,WA036GRFINV / AN036GRFINV,Split Hi-Wall,36000.0,1316.0,6.5
HISENSE,AS-24TW2RBWHB01 / AS-24TW2RBW01,Split Hi-Wall,24000.0,828.0,7.0
HISENSE,AS-22TW2RXTCK00 / AS-22TW2RXT00,Split Hi-Wall,24000.0,992.0,5.3
Agratto,LCST12QF-02I,Split Hi-Wall,12000.0,528.0,5.5
AGRATTO,ICS12QF-02,Split Hi-Wall,12000.0,528.0,5.5
AGRATTO,ZICST9QF-02,Split Hi-Wall,9000.0,311.0,7.0
AGRATTO,ZICST24QF-02,Split Hi-Wall,24000.0,830.0,7.0
AGRATTO,KNICST12QF-02,Split Hi-Wall,12000.0,414.0,7.0
AGRATTO,LCS24F - 02I,Split Hi-Wall,24000.0,1055.0,5.5
AGRATTO,ICS24F - 02,Split Hi-Wall,24000.0,1055.0,5.5
HQ,HQIT12F-02,Split Hi-Wall,12000.0,528.0,5.5
AGRATTO,ICS12F-02,Split Hi-Wall,12000.0,528.0,5.5
AGRATTO,FICST12F-02I,Split Hi-Wall,12000.0,528.0,5.5
AGRATTO,ZICSTF12-02,Split Hi-Wall,12000.0,411.0,7.0
AGRATTO,KNICST24F- 02,Split Hi-Wall,24000.0,829.0,7.0
Midea,42AGVCC30M5 / 38AGVCC305,Split Hi-Wall,30000.0,1038.1,7.0
GREE,GWC24AGE-D3NNA2A,Split Hi-Wall,24000.0,1578.0,3.87
VG,VG02SFINV12INT / VG02SFINV12EXT,Split Hi-Wall,12000.0,538.0,5.5
VG,VG02SRINV18INT / VG02SRINV18EXT,Split Hi-Wall,18000.0,805.0,5.53
PSG,PSG02SFINV09INT / PSG02SFINV09EXT,Split Hi-Wall,9000.0,395.0,5.55
PSG,PSG02SRINV12INT / PSG02SRINV12EXT,Split Hi-Wall,12000.0,538.0,5.5
HISENSE,AS-30TW2RKKVT01 / 1KK030009ZNPW5678JM0004,Split Hi-Wall,30000.0,1220.0,5.5
TECHFRIO,HT-30INV,Split Hi-Wall,30000.0,1220.0,5.5
